time_ms,memory_kbytes
0,0
396,0
1408,18228
1672,23996
1892,31528
2156,34848
2420,34868
2684,32228
2904,34264
3168,40752
3476,45292
3696,78124
3916,90380
4180,89828
4444,89848
4664,89848
4928,90440
5236,90440
5500,90440
5676,90440
5940,90440
6248,90440
6512,90440
6732,90484
6952,90484
7216,89040
7480,89040
7744,89140
7964,89140
8184,89140
8492,89140
8756,89148
8932,88132
9152,88228
9416,88256
9812,88256
9944,88256
10208,88532
10428,88532
10736,88532
10956,88532
11220,88532
11484,88532
11748,88532
12012,88532
12232,88532
12496,88532
12716,88532
12980,88532
13244,88532
13508,88532
13772,88532
13992,88532
14300,88532
14432,89208
14696,82884
14960,91160
15268,91164
15488,91164
15752,91164
16060,91164
16236,91168
16500,91160
16808,91168
16940,91168
17204,91172
17468,91172
17820,91184
17996,91184
18304,91188
18524,91176
18744,91360
18964,91360
19316,91364
19536,91364
19712,91364
19932,91576
20196,91648
20460,91652
20724,91652
21032,91652
21252,91652
21472,91652
21824,91652
21956,91588
22220,91588
22484,91588
22792,91588
22968,91588
23276,91588
23540,91588
23716,91588
24024,91588
24288,91588
24552,91588
24728,91588
24992,91608
25256,91612
25476,91860
25784,91860
26004,91860
26224,91860
26532,91860
26752,91860
27016,91860
27280,91860
27500,91860
27764,91860
28116,91860
28248,91860
28556,91860
28820,91860
29040,91860
29304,91860
29568,91860
29788,91860
30096,91860
30228,91860
30492,96736
30712,102232
30976,98516
31240,98520
31504,98520
31900,98520
31988,98520
32296,98520
32516,98520
32736,98520
33044,98520
33308,98516
33528,98516
33836,98516
34012,98512
34276,98512
34540,98512
34760,98512
35024,98512
35376,98512
35552,98512
35816,98512
36080,98512
36256,98792
36520,102100
36784,101992
37004,101992
37268,101992
37576,101992
37796,101992
38016,102024
38368,101868
38544,101868
38808,101868
39116,101868
39336,101868
39600,101868
39864,101868
39996,101868
40304,102044
40568,102044
40788,102044
41052,102044
41360,102044
41536,102044
41800,102044
42020,102084
42284,102100
42592,101956
42856,101956
43076,101956
43340,101956
43604,101956
43824,101956
44132,101956
44308,101956
44616,101956
44836,101956
