Test;Time
org.quantumbadger.redreader.activities.testcase5_003;5752
org.quantumbadger.redreader.activities.testcase5_004;7609
org.quantumbadger.redreader.activities.testcase5_005;3319
org.quantumbadger.redreader.activities.testcase5_006;3816
org.quantumbadger.redreader.activities.testcase5_007;2230
org.quantumbadger.redreader.activities.testcase5_008;14306
org.quantumbadger.redreader.activities.testcase5_009;4131
org.quantumbadger.redreader.activities.testcase5_010;2221
org.quantumbadger.redreader.activities.testcase5_011;2534
org.quantumbadger.redreader.activities.testcase5_012;2616
org.quantumbadger.redreader.activities.testcase5_013;2890
org.quantumbadger.redreader.activities.testcase5_014;2884
org.quantumbadger.redreader.activities.testcase5_015;2240
org.quantumbadger.redreader.activities.testcase5_016;1670
org.quantumbadger.redreader.activities.testcase5_017;5430
org.quantumbadger.redreader.activities.testcase5_018;1847
org.quantumbadger.redreader.activities.testcase5_019;6113
org.quantumbadger.redreader.activities.testcase5_020;2918
org.quantumbadger.redreader.activities.testcase5_021;4520
org.quantumbadger.redreader.activities.testcase5_022;6421
org.quantumbadger.redreader.activities.testcase5_023;6296
org.quantumbadger.redreader.activities.testcase5_024;3296
org.quantumbadger.redreader.activities.testcase5_025;3024
org.quantumbadger.redreader.activities.testcase5_026;2530
org.quantumbadger.redreader.activities.testcase5_027;2902
org.quantumbadger.redreader.activities.testcase5_028;3036
org.quantumbadger.redreader.activities.testcase5_029;2269
org.quantumbadger.redreader.activities.testcase6_000;3257
org.quantumbadger.redreader.activities.testcase6_001;5117
org.quantumbadger.redreader.activities.testcase6_002;3869
org.quantumbadger.redreader.activities.testcase6_003;7121
org.quantumbadger.redreader.activities.testcase6_004;2959
org.quantumbadger.redreader.activities.testcase6_005;3377
org.quantumbadger.redreader.activities.testcase6_006;4857
org.quantumbadger.redreader.activities.testcase6_007;2441
org.quantumbadger.redreader.activities.testcase6_008;13676
org.quantumbadger.redreader.activities.testcase6_009;4385
org.quantumbadger.redreader.activities.testcase6_010;3685
org.quantumbadger.redreader.activities.testcase6_011;2673
org.quantumbadger.redreader.activities.testcase6_012;5330
org.quantumbadger.redreader.activities.testcase6_013;2660
org.quantumbadger.redreader.activities.testcase6_014;3339
org.quantumbadger.redreader.activities.testcase6_015;1819
org.quantumbadger.redreader.activities.testcase6_016;4373
org.quantumbadger.redreader.activities.testcase6_017;2397
org.quantumbadger.redreader.activities.testcase6_018;2761
org.quantumbadger.redreader.activities.testcase6_019;4187
org.quantumbadger.redreader.activities.testcase6_020;6364
org.quantumbadger.redreader.activities.testcase6_021;5100
org.quantumbadger.redreader.activities.testcase6_022;6371
org.quantumbadger.redreader.activities.testcase6_023;2866
org.quantumbadger.redreader.activities.testcase6_024;3752
org.quantumbadger.redreader.activities.testcase6_025;6527
org.quantumbadger.redreader.activities.testcase6_026;4821
org.quantumbadger.redreader.activities.testcase6_027;2633
org.quantumbadger.redreader.activities.testcase6_028;2596
org.quantumbadger.redreader.activities.testcase6_029;2670
org.quantumbadger.redreader.activities.testcase7_000;3636
org.quantumbadger.redreader.activities.testcase7_001;3887
org.quantumbadger.redreader.activities.testcase7_002;5030
org.quantumbadger.redreader.activities.testcase7_003;2325
org.quantumbadger.redreader.activities.testcase7_004;6896
org.quantumbadger.redreader.activities.testcase7_005;8227
org.quantumbadger.redreader.activities.testcase7_006;8797
org.quantumbadger.redreader.activities.testcase7_007;9401
org.quantumbadger.redreader.activities.testcase7_008;2638
org.quantumbadger.redreader.activities.testcase7_009;2284
org.quantumbadger.redreader.activities.testcase7_010;2771
org.quantumbadger.redreader.activities.testcase7_011;3398
org.quantumbadger.redreader.activities.testcase7_012;2949
org.quantumbadger.redreader.activities.testcase7_013;4308
org.quantumbadger.redreader.activities.testcase7_014;3241
org.quantumbadger.redreader.activities.testcase7_015;4829
org.quantumbadger.redreader.activities.testcase7_016;2854
org.quantumbadger.redreader.activities.testcase7_017;3614
org.quantumbadger.redreader.activities.testcase7_018;6399
org.quantumbadger.redreader.activities.testcase7_019;3329
org.quantumbadger.redreader.activities.testcase7_020;3387
org.quantumbadger.redreader.activities.testcase7_021;5913
org.quantumbadger.redreader.activities.testcase7_022;6789
org.quantumbadger.redreader.activities.testcase7_023;6903
org.quantumbadger.redreader.activities.testcase7_024;3202
org.quantumbadger.redreader.activities.testcase7_025;16573
org.quantumbadger.redreader.activities.testcase7_026;2105
org.quantumbadger.redreader.activities.testcase7_027;3997
org.quantumbadger.redreader.activities.testcase7_028;2268
org.quantumbadger.redreader.activities.testcase7_029;3736
org.quantumbadger.redreader.activities.testcase8_000;2812
org.quantumbadger.redreader.activities.testcase8_001;4092
org.quantumbadger.redreader.activities.testcase8_002;4037
org.quantumbadger.redreader.activities.testcase8_003;8062
org.quantumbadger.redreader.activities.testcase8_004;9851
org.quantumbadger.redreader.activities.testcase8_005;1134
org.quantumbadger.redreader.activities.testcase8_006;4047
org.quantumbadger.redreader.activities.testcase8_007;5838
org.quantumbadger.redreader.activities.testcase8_008;2479
org.quantumbadger.redreader.activities.testcase8_009;2275
org.quantumbadger.redreader.activities.testcase8_010;2630
org.quantumbadger.redreader.activities.testcase8_011;5798
org.quantumbadger.redreader.activities.testcase8_012;3001
org.quantumbadger.redreader.activities.testcase8_013;3577
org.quantumbadger.redreader.activities.testcase8_014;6447
org.quantumbadger.redreader.activities.testcase8_015;6157
org.quantumbadger.redreader.activities.testcase8_016;1596
org.quantumbadger.redreader.activities.testcase8_017;3124
org.quantumbadger.redreader.activities.testcase8_018;1996
org.quantumbadger.redreader.activities.testcase8_019;3052
org.quantumbadger.redreader.activities.testcase8_020;8580
org.quantumbadger.redreader.activities.testcase8_021;9918
org.quantumbadger.redreader.activities.testcase8_022;2827
org.quantumbadger.redreader.activities.testcase8_023;2666
org.quantumbadger.redreader.activities.testcase8_024;4293
org.quantumbadger.redreader.activities.testcase8_025;3038
org.quantumbadger.redreader.activities.testcase8_026;2081
org.quantumbadger.redreader.activities.testcase8_027;6505
org.quantumbadger.redreader.activities.testcase8_028;2623
org.quantumbadger.redreader.activities.testcase8_029;11943
