time_ms,cpu_percent
0,0.0
882,0.0
2058,24.051
2303,27.848
2499,25.0
2695,29.114
2891,20.0
3087,16.667
3283,21.25
3479,27.848
3675,26.582
3871,40.0
4067,28.049
4263,6.494
4459,0.0
4704,0.0
4900,0.0
5096,0.0
5292,0.0
5488,0.0
5684,0.0
5880,0.0
6076,0.0
6272,0.0
6468,0.0
6664,2.5
6860,0.0
7105,0.0
7301,0.0
7497,0.0
7693,0.0
7889,0.0
8085,0.0
8281,20.253
8477,22.5
8673,29.114
8869,22.5
9065,25.0
9261,23.457
9506,28.205
9702,8.642
9898,18.987
10094,7.792
10290,27.5
10486,30.769
10682,27.5
10878,26.582
11074,28.75
11270,11.538
11515,6.494
11711,13.924
11907,22.5
12103,33.75
12299,40.741
12495,41.026
12691,27.16
12887,37.179
13083,32.099
13279,37.179
13475,42.5
13671,37.975
13916,38.75
14112,38.462
14308,33.766
14504,35.443
14700,33.333
14896,46.753
15092,56.79
15288,63.636
15484,51.948
15680,59.259
15876,42.308
16121,48.718
16317,46.053
16513,51.282
16709,42.683
16905,38.462
17101,44.872
17297,34.177
17493,37.179
17689,59.459
17885,41.026
18081,52.0
18326,48.684
18522,49.367
18718,35.366
18914,40.26
19110,36.145
19306,41.772
19502,32.099
19698,31.646
19894,31.25
20090,32.927
20335,40.506
20531,36.709
20727,28.75
20923,43.038
21119,38.272
21315,39.024
21511,41.772
21707,38.272
21903,39.506
22099,48.101
22295,51.899
22540,60.0
22736,50.617
22932,61.25
23128,43.75
23324,33.75
23520,43.038
23716,43.902
23912,42.308
24108,50.633
24304,25.926
24500,26.923
24745,27.848
24941,10.39
25137,8.75
25333,5.063
25529,0.0
25725,0.0
25921,0.0
26117,0.0
26313,1.235
26509,12.821
26705,0.0
26901,0.0
27097,0.0
27342,17.5
27538,21.795
27734,7.317
27930,0.0
28126,0.0
28322,0.0
28518,1.266
28714,21.25
28910,0.0
29106,0.0
29302,0.0
29498,0.0
29743,11.392
29939,1.235
30135,0.0
30331,0.0
30527,0.0
30723,0.0
30919,0.0
31115,12.5
31311,0.0
31507,0.0
31703,16.456
31948,22.785
32144,46.25
32340,36.25
32536,32.911
32732,24.096
32928,26.582
33124,32.099
33320,37.179
33516,13.924
33712,23.75
33908,0.0
34104,0.0
34349,0.0
34545,0.0
34741,8.861
34937,1.25
35133,0.0
35329,0.0
35525,0.0
35721,11.392
35917,0.0
36113,0.0
36309,0.0
36505,0.0
36750,0.0
36946,3.659
37142,8.861
37338,0.0
37534,0.0
37730,12.346
37926,24.051
38122,1.282
38318,5.063
38514,7.692
38710,0.0
38955,0.0
39151,0.0
39347,0.0
39543,7.595
39739,6.329
39935,0.0
40131,0.0
40327,0.0
40523,11.538
40719,0.0
40915,0.0
41111,0.0
41356,0.0
41552,0.0
41748,0.0
41944,7.595
42140,20.253
42336,22.5
42532,32.099
42728,17.722
42924,31.646
43120,30.0
43316,31.707
43561,20.238
43757,30.38
43953,43.21
44149,21.795
44345,5.063
44541,0.0
44737,0.0
44933,0.0
45129,0.0
45325,0.0
45521,0.0
45766,0.0
45962,0.0
46158,0.0
46354,0.0
46550,0.0
46746,0.0
46942,0.0
47138,0.0
47334,0.0
47530,0.0
47726,2.5
47922,0.0
48167,0.0
48363,11.25
48559,8.861
48755,0.0
48951,0.0
49147,0.0
49343,0.0
49539,0.0
49735,0.0
