time_ms,cpu_percent
0,0.0
351,0.0
1560,10.39
1755,9.938
1950,14.667
2145,13.75
2340,14.375
2535,13.548
2769,16.981
2964,3.822
3159,1.25
3354,0.0
3549,0.0
3744,0.0
3939,0.0
4134,0.0
4368,0.0
4563,0.0
4758,0.0
4953,0.0
5148,0.0
5343,0.0
5538,0.0
5772,0.0
5967,0.0
6162,0.0
6357,0.0
6552,0.633
6747,0.0
6942,7.237
7176,20.755
7371,11.688
7566,11.321
7761,1.274
7956,17.197
8151,36.709
8346,48.387
8541,50.633
8775,36.478
8970,17.284
9165,16.352
9360,16.149
9555,14.744
9750,12.821
9945,42.484
10179,44.516
10374,28.125
10569,14.907
10764,14.11
10959,11.465
11154,11.515
11349,15.385
11583,10.968
11778,7.595
11973,13.924
12168,9.816
12363,3.846
12558,7.051
12753,5.0
12987,4.403
13182,5.806
13377,0.0
13572,0.0
13767,0.0
13962,0.0
14157,3.846
14352,1.258
14586,0.0
14781,0.0
14976,0.0
15171,0.0
15366,1.258
15561,0.633
15756,5.66
15990,0.0
16185,0.0
16380,0.0
16575,3.145
16770,0.562
16965,0.0
17160,0.0
17355,9.494
17589,5.096
17784,1.923
17979,4.969
18174,3.145
18369,1.307
18564,1.863
18759,1.299
18993,1.875
19188,1.911
19383,0.641
19578,8.696
19773,26.582
19968,14.013
20163,7.547
20397,3.846
20592,0.0
20787,2.41
20982,20.253
21177,8.861
21372,0.0
21567,0.0
21762,0.0
21996,0.0
22191,0.0
22386,0.0
22581,0.0
22776,3.896
22971,1.266
23166,0.0
23400,0.0
23595,0.0
23790,0.0
23985,0.0
24180,0.0
24375,7.643
24609,1.29
24804,3.205
24999,0.0
25194,0.641
25389,0.0
25584,0.0
25779,0.0
26013,0.0
26208,0.0
26403,0.625
26598,0.633
26793,1.266
26988,0.0
27183,0.0
27378,0.0
27612,1.911
27807,1.887
28002,0.0
28197,0.0
28392,0.0
28587,3.822
28782,12.025
29016,6.369
29211,1.299
29406,1.235
29601,3.226
29796,1.282
29991,1.258
30186,11.039
30381,16.352
30615,6.25
30810,0.0
31005,0.0
31200,1.282
31395,0.629
31590,18.065
31824,1.266
32019,0.0
32214,0.0
32409,1.25
32604,1.307
32799,0.0
32994,0.0
33189,1.274
33423,0.0
33618,0.629
33813,0.0
34008,0.0
34203,0.0
34398,2.597
34593,0.0
34827,4.545
